input_text,target_text
ზსწავლს,ასწავლეს
არმაც,რამაც
პკრობითია,პირობითია
საბადდან,საბადოდან
სმაჭამაქ,სმაჭამას
კონეადო,კონდადო
გამსჭვალკლ,განმსჭვალულ
ვამოცვილხარ,გამოცვლილხარ
გამოვიტწნჰე,გამოვიტანე
მამჩემია,მამაჩემია
უნივერსალური,უნივერსალური
მქონდაო,მქონდაო
ტყდებოდა,ტყდებოდა
ჰათრა,ჰათრა
ნასედა,ნაუსედა
სარდები,სკალდები
რელიეფკა,რელიეფია
თქავათ,თქვათ
იგეგმბფოდა,იგეგმებოდა
დიფლ,ეიფლ
ვეწნას,ვენას
წლამდელთს,წლამდელთა
დალთისთვის,დავითისთვის
აეტორღიალებოფა,აეტორღიალებოდა
უზიარებდნენ,უზიარებდნენ
ფოჩდუა,ფოჩხუა
მაყურებლის,მაყურებლის
მკდავე,მოდავე
კურატების,კურატების
სვიტენი,სვიტენი
შემხედვაღსე,შემხედვარეს
ადგილებშია,ადგილებშია
ხლგარიანცი,ხლგათიანცი
ჰალ,ჰალე
დაბრალდება,დაბრალდება
გამოჯნმდთელედთ,გამოჯანმრთელდეთ
მეფეზე,მეფეზე
ლომისციხე,ლომისციხე
რევოშილი,რევიშვილი
სინის,ისნის
ასალციხის,ახალციხის
ჭადმნენ,ჭამდნენ
არბედოს,არბედოს
ლოთარ,ლოთარ
მექისემ,მექისემ
განეკუთგნება,განეკუთვნება
წებშიც,წლებშიც
ტომების,ტომების
მიკროელექყრობული,მიკროელექტრონული
ვიშუამდგომლე,ვიშუამდგომლეთ
მარია,მარიამ
ჯარისკაცს,ჯარისკაცს
სნკესს,ანკესს
ნეაპოლიტსნსუ,ნეაპოლიტანუს
უქეყანა,ქუეყანა
კოროორაციულ,კორპორაციულ
დაყზვერავად,დაუზვერავად
გვწრდილა,გვარდიოლა
ტერქსებზ,ტერასებზე
კატზაე,კატაზე
მემთვრალეობაშივე,მემთვრალეობაშივე
მაზრინი,მაზარინი
მაკკეზნი,მაკკენზი
მჯდომთატან,მჯდომთაგან
დჯეტმა,დუეტმა
გოეჰესადი,გოეთესადმი
ლიბანელი,ლიბანელი
ალაპარაკსბდა,ალაპარაკებდა
განწწყენდა,განაწყენდა
არჩრვანჯიც,არჩევანიც
აბახთუმანო,აბასთუმანი
მოლაპარაკბეათა,მოლაპარაკებათა
ეტყობოდა,ეტყობოდა
დაბაკბიუჯეტიანი,დაბალბიუჯეტიანი
ავტომშენებლობა,ავტომშენებლობა
ამგვრი,ამგვარი
უკლეს,უკლეს
ადნრიანოპოლოის,ანდრიანოპოლის
აეაბეთის,არაბეთის
რუმუნელი,რუმინელი
სადგურიასდნ,სადგურიდან
ენტრე,ენტრე
წევრებში,წევრებში
ფლური,ფლური
კინოუმსიკოსი,კინომუსიკოსი
ოპოზიცაიმ,ოპოზიციამ
გთხოვთ,გვთხოვეთ
კოლუმბიისა,კოლუმბიისა
იმხლწვრეს,იმძლავრეს
ტახტისძიკრ,ტახტისძირი
ფსიოქ,ფსიქო
მემკვირდეობიით,მემკვიდრეობითი
დაეწიოს,დაეწიოს
ლხეურის,ლეხურის
შეემცირებინა,შეემცირებინა
სასაანიდეიბსზ,სასანიდებისა
მხიარულებითა,მხიარულებითა
ლოტარჯგნია,ლოტარინგია
ჯაჯელს,ჯაყელს
შათა,შაჰთა
ვიგუოსლოგია,ვირუსოლოგია
ბორცვეზ,ბორცვზე
ჰყოლია,ჰყოლია
ვიზტიევს,ვიზიტებს
ჩანადქირსა,ჩანაფიქრსა
დაბეგვრის,დაბეგვრის
უპრენცენდენტოა,უპრენცენდენტოა
მშვილდივით,მშვილდივით
აკაბებდათ,აკავებდათ
ხემლოკლეობის,ხელმოკლეობის
იალქანიძესან,იალქანიძესთან
ავიჯტკითო,ავიტკიოთ
გათვწლსწინებაც,გათვალისწინებაც
ჯაყრისი,ჯაგრისი
დავითიანის,დავითიანის
მაღალი,მაღალი
თვისისათვის,თვისისათვის
ივერიისა,ივერიისა
ება,ება
მოსპობაო,მოსპობაო
ლაათანად,ლაზათიანად
იპრიხი,იპერიხი
მეტაფორა,მეტაფორა
საკურთხევილს,საკურთხევლის
რენმინი,რენკინი
თორმეტის,თორმეტის
სვდოქსე,ევდოქსე
ახლომდებრე,ახლომდებარე
საუბრობს,საუბრობს
ზემოთაღნიშნუილ,ზემოთაღნიშნული
გაშამარგი,გასამარგლი
ლენქპრანი,ლენქორანი
მოცულობა,მოცულობა
ნდა,ნდა
დახვრიტა,დახვრიტა
ურთიერთკვაშურიც,ურთიერთკავშირიც
დასვლეთგერმანული,დასვლეთგერმანული
გულარტიო,გულარტი
ხუხულც,ხუხულაც
მრავალაპრტიულობა,მრავალპარტიულობა
თანამემამულეებვს,თანამემამულეებს
მიკაელ,მიკაელ
საგულისხმო,საგულისხმო
ჩეკზეც,ჩემზეც
კობალტი,კობალტი
გომერის,გომერის
დიასახლიშის,დიასახლისის
ნაჭიშკრევის,ნაჭიშკრევის
დიდიო,დიდიო
ატანა,გატანა
ბრჭყალებს,ბრჭყალებს
კიკოკავიო,კილოკავი
ზღურბლე,ზღურბლზე
ეფთ,ერთ
სპექტროგრქფ,სპექტროგრაფი
შევსეას,შევსებას
ბონაპქრტზეწ,ბონაპარტზე
წამოვიდნჯენ,წამოვიდნენ
